cust_id,cash_withdrawal_alert
5940680,2
9115885,4
5673843,0
4033285,0
6265980,1
5086226,0
6215208,5
1855253,1
3796645,5
7840347,3
7754396,1
5463439,2
7340928,2
9426182,3
9461922,0
1906940,3
3814528,3
1693261,3
9645727,0
1509961,3
2046107,3
3992981,2
8043681,3
4089969,0
5241951,4
2602847,5
5910078,4
1980048,4
8217471,5
8220525,2
5093328,2
2643548,1
4514590,3
9055868,5
9485787,3
6034859,0
1671424,2
6337584,0
3946026,0
3714665,2
1546368,0
2316960,3
3984846,5
3456968,1
1354119,3
1543042,0
2841203,0
3745109,1
4597885,1
9487631,4
1446017,1
9456129,1
1572747,3
8311431,2
6727976,0
2630863,4
4584739,1
3564871,3
5515100,2
8848618,4
5283755,3
8211097,3
3574130,1
9323853,5
2436531,0
6809670,3
8032062,1
5923272,0
5852174,0
3488415,3
1332406,3
2795058,4
5034027,5
5319284,2
6837087,2
4785790,4
6474010,1
6632775,0
7901711,4
9808034,5
8855463,3
1267368,2
8160750,3
6904961,1
6457186,1
5974620,3
8436585,5
2411732,3
3231982,4
4422726,3
1709180,4
2290007,2
6394400,3
9752629,4
2241517,5
3734752,1
6561974,4
4009993,1
4346392,0
5052012,0
1774689,3
3133706,2
4613761,1
2253972,2
6724536,3
9275750,3
5020420,4
3185712,0
6096855,5
6654180,4
7134676,2
4074156,0
1440076,3
1499828,5
2382845,3
3977973,2
4454915,5
4676235,3
6018433,4
5940615,5
2165744,1
2160907,2
1853882,1
4852514,3
1385889,2
3649089,3
8943405,3
7376848,1
4731071,4
6791265,2
6436221,2
5228002,4
4743431,5
6781210,5
3499000,5
5925953,4
4660246,4
5439968,2
3705502,2
6421609,1
6164705,0
8949181,3
5277863,2
9017572,1
1332067,0
2641513,5
6852915,0
4101409,4
1783660,4
2511336,2
7774678,5
2364320,4
2765423,3
3694209,5
4217496,2
2707781,5
5577389,1
9356750,4
3010660,5
5879764,5
2854113,1
6460481,3
1957954,0
9371113,0
4417434,2
8392162,2
2443381,4
9336752,2
8462923,1
2844706,4
7480794,0
5743249,5
6413958,4
5988337,0
2726551,3
8544503,4
5849127,0
5298246,1
4843144,1
2167345,3
5847638,0
5293807,4
2409134,1
2741935,0
6534753,2
5276050,3
4600988,4
8495150,0
6143719,2
8996994,2
3568258,1
3363878,4
9692419,3
7929968,1
2623610,0
1930644,3
6679746,5
3336770,5
7110351,1
3585411,4
8149676,5
1912338,0
3005727,3
7831378,0
9286921,2
6306576,1
8604644,4
3027402,4
2453194,3
5160468,4
3926705,4
6230223,4
3985702,3
5878623,3
5557977,1
5065166,1
1872909,2
9369630,0
5316566,1
2842411,5
5776823,3
9194292,3
9105404,5
9459617,1
3248085,2
5723322,4
4629352,5
5874535,3
9082655,5
2876353,2
4615794,0
2544196,0
3546783,0
4679961,5
2395161,5
3653871,0
6259384,1
2095337,2
7477628,2
7545061,5
2692376,3
4183029,4
7633815,5
8251213,0
1918708,5
7759024,2
3897364,0
6217226,5
5591307,0
9061142,3
5295156,2
3699134,2
2961981,5
7049299,3
2412332,3
5032254,0
9845634,5
2735165,3
1401108,1
7556384,3
3815512,2
6568563,0
7511821,3
7982454,3
7428564,1
2151522,1
2666429,1
2666408,2
7223663,0
7109644,0
1957984,0
9029454,1
4663773,3
9582773,5
8035737,3
8727890,5
2837348,1
1562944,0
7437310,2
6696155,2
3298086,3
9307922,2
9458648,4
2870104,1
9472877,3
4728334,1
3017782,0
7382441,2
2042952,2
8266263,5
2201031,2
2655832,1
1793088,0
8942308,0
9323026,5
5077766,1
8809278,4
6070891,3
2693883,4
7656922,5
7744981,2
8340693,0
1720395,2
7677738,4
9529428,2
4643130,5
3932747,0
9707428,1
7862423,3
2058191,3
2648315,4
7761001,3
2774998,2
3313334,2
9187039,5
8916287,1
6434956,3
2858134,3
8417426,0
4575633,5
8212879,4
2207010,2
7897763,1
3989731,2
3225077,5
8932625,1
5558823,3
1639774,3
6549499,5
8941412,1
7759622,0
6749017,5
4098017,3
7112814,5
3025178,2
2070587,3
6419703,5
8515171,4
7256213,0
8115798,3
4809655,5
4285649,4
1969400,2
9460008,5
2321977,5
3393922,3
9728156,0
2651210,1
9770750,0
4833131,1
6722204,2
4139916,2
7323880,2
4656976,1
2836134,0
4651240,2
5933870,0
2545200,2
3890677,3
1269711,5
9672526,0
6661502,2
1774656,3
8646583,4
8038857,0
5605057,5
9036583,0
6997867,1
2987521,2
6079258,4
6176500,3
7625024,3
9422690,2
6665032,3
4157602,2
3848150,1
9219391,2
4057772,0
3286772,3
7911049,5
1566491,2
6351408,4
7889916,0
2068097,0
3775771,3
3063293,5
2893689,1
3177660,4
2307285,1
8477859,0
6633694,5
2045463,1
6728997,0
8771178,3
3352417,4
4902338,5
9767908,1
4961590,5
2195772,0
7069989,5
5498618,5
1846351,2
5246181,4
2817789,3
8238162,2
9434157,5
6279792,1
2746554,4
6765928,5
1822161,2
5617612,4
7283912,1
8480122,5
4348985,4
3011276,2
7566255,5
4739001,1
6216799,1
2010914,2
5957331,4
2876568,5
3758441,4
6615588,2
2668789,1
4421241,3
6594134,2
4057347,3
2417200,4
4263858,5
2145126,4
5293819,4
4735849,5
5044368,5
8169837,4
7333311,1
3176165,1
7956195,4
8158316,4
1350391,4
7646265,5
7032714,4
3241997,4
4933428,5
4796250,1
8595351,3
8462609,4
5927010,1
6181400,2
5747354,1
2681538,2
3842649,2
7094890,0
7765205,3
3546869,5
3815730,5
6534070,3
3609837,0
3595907,0
2291810,4
8506004,3
8735017,1
6048563,0
6999025,2
9402656,4
2057945,0
8580405,2
5874015,4
2374944,0
8238014,5
5294726,0
1484927,0
4953612,3
7138682,2
9287505,0
5001358,3
8984971,2
9132183,0
6089062,3
7971783,5
2665641,5
1640591,1
3583182,1
8954357,2
9491931,0
7740988,2
1267102,4
3522481,3
6705317,0
5051013,1
2469378,1
2766518,4
2901554,5
7101600,4
2409134,3
1797364,5
2496646,0
2345813,3
5671972,0
7278501,3
4862371,0
9496510,4
7255172,4
6350138,3
1618282,0
1483739,3
2878409,4
3092873,4
1578417,4
7552501,4
7275023,2
6993944,5
3723741,3
9020374,5
5985938,3
2986882,3
5923435,2
9220843,0
5604982,2
6308811,4
9585416,1
4002100,2
2874222,0
3027782,3
6170284,0
5050153,0
1836460,5
9017602,2
5779291,1
2209095,0
4249973,3
7373592,3
6020294,2
4200531,3
1556659,2
9448156,2
8661126,4
6756244,1
8146239,3
5988922,2
4549470,3
6934833,2
9594487,4
1376056,4
3562314,3
5603836,5
6804757,1
2633259,0
8951528,2
3827702,0
8857494,5
3880777,0
2989600,0
4671459,5
7097867,0
7513203,1
1513180,4
1321346,1
1777313,2
1455269,5
4116604,2
3343319,5
3714710,1
6534486,1
6513466,3
1950175,1
3513022,3
3326854,3
1406024,4
3689007,3
8290194,2
5255872,5
8399565,5
4254364,2
8341462,5
7529412,3
5143828,0
5536601,1
1428645,0
6843831,1
3386164,2
2602690,3
1939178,0
3436936,5
3286213,3
7428699,1
3154577,2
2331751,1
2785697,2
9256753,4
7541819,2
3061415,2
1633401,1
6576176,5
6494382,3
4083875,2
8023463,1
9770460,2
3169183,1
9130739,1
6790437,4
4792550,3
3623428,0
9243249,4
5568213,3
7576850,5
2492328,0
5335552,5
2576001,4
5825718,5
9491935,4
3597169,2
7086540,4
2775596,5
6617862,0
7606994,4
6759298,1
3814528,1
6924959,0
3442464,1
4476759,4
8029864,5
3243917,0
8449231,0
6743750,2
3973763,5
8761812,0
4239542,1
6223829,4
8128237,2
6661588,1
7967805,4
3937121,5
5345735,0
5764921,3
8943685,3
2464072,2
1285675,5
2634832,3
9563583,4
5271268,4
6433787,3
2826111,0
7346202,5
3178709,0
9043865,0
8421594,4
4765226,5
5467038,4
7865732,1
7052909,0
4444555,1
1828310,2
4674107,0
2411498,5
6510654,0
8915479,3
8004635,1
9663986,5
5207195,1
1364313,5
1316336,3
2145909,5
3843407,0
3899691,4
3557330,3
3219822,1
9201332,4
6918721,2
7649478,4
9078018,4
6963575,0
3670085,2
5702757,0
4176099,3
8077923,1
5053624,0
7592093,2
2418162,2
7397498,2
3177921,0
9095638,0
5235569,5
8670780,1
1658104,1
7431648,3
2943978,4
1857838,2
7362158,2
6964530,5
4103608,4
3063086,0
7568767,5
1900953,1
3952526,2
4861114,0
2058699,0
9352325,2
9671094,0
8882073,3
9487831,5
9530745,3
6202801,1
8492121,1
3714938,3
4626011,2
5884327,1
5596238,2
4468469,2
5073349,4
7487558,5
2043394,5
7340044,4
2050883,3
9260365,4
9113188,0
4691261,2
5415795,5
6390918,2
9433056,0
5454352,0
6572913,0
3870045,1
7175991,4
4469013,4
7606016,0
2386203,2
1560012,0
6041444,4
3641454,0
3400929,0
3498832,4
6658098,5
3946470,0
9630296,3
6911600,3
8701156,2
3724606,2
5396370,0
5439141,3
3576333,3
6331085,0
2041533,1
8545905,3
8290364,1
2307209,0
9209282,0
9296966,4
6410449,5
1305301,3
3926563,4
8165700,5
3832679,0
3591611,1
9367975,0
6073315,5
6391814,5
2211952,3
8567870,5
5802281,0
3020199,5
8300374,1
6096046,4
1865367,4
8081596,1
3411689,1
1377658,3
4633242,4
9389522,2
6233313,1
9536807,0
3502869,1
1827218,3
9325351,4
4063051,0
6329583,5
6017975,1
9622722,0
4792376,0
3406181,2
4745355,2
7690206,2
2059862,3
4404492,2
2252477,3
4361400,4
4497288,5
4078767,4
4917544,1
5602104,0
2680553,2
8549064,2
1434130,1
1557093,2
3109673,2
8713688,5
5064904,0
2740323,1
8152124,2
7888720,1
3856895,3
4521134,1
1735831,4
9809831,1
6525803,1
8164051,5
7032503,3
1371462,2
9605462,0
7270003,4
3480588,5
4312279,4
1505245,2
4113604,0
5310244,2
3533138,3
2445580,4
5105976,3
8268649,2
1454853,0
7409336,5
8246500,3
3430285,3
1799177,2
5266061,1
5016572,2
7244724,4
9080885,2
4407177,4
6066237,2
4761028,2
3119641,4
7243010,2
8723930,0
7100870,5
7138912,2
1560536,4
1730739,0
6357286,2
5714247,1
5218380,3
9745525,3
1947169,0
2125186,3
3270308,1
6079432,5
9032464,3
2259955,3
5005882,0
9204766,2
9444485,1
3484213,5
3698395,0
1505541,3
9736655,0
9176395,1
5793704,2
7275929,5
2677407,3
1899924,3
4995101,3
9484822,1
5709570,2
7741686,2
9852405,4
5218137,5
2764965,0
8157536,3
4099756,3
4029620,2
6523523,5
7837526,5
7384481,2
8090771,3
3029847,4
5792964,3
1546972,5
6401421,5
1354105,0
3902516,1
7873027,3
2760665,3
3088655,2
4175523,0
7285086,3
9854924,2
9726986,0
8452696,2
6596001,0
7360565,4
3619193,1
5920835,5
1482561,5
8941526,5
5113424,3
3306539,3
4523861,4
4211027,3
6611613,5
2635138,0
2493990,4
8159684,0
2451085,3
8905768,0
3066915,2
2576968,1
3521209,5
9215828,3
8374395,4
6437836,5
8923590,1
8246332,4
6717249,4
7175075,3
9504785,5
7257994,4
1627877,0
2996185,0
9312096,3
4955535,3
7179789,2
5235566,0
5393195,1
1286467,2
5108312,4
5081484,3
9244650,1
2456294,5
3592689,5
6602062,2
5967761,1
3705981,3
8188299,0
9806925,0
4759505,1
7950534,4
6164884,5
7581979,1
2459544,5
1998051,3
6035901,1
8981721,0
5925054,3
5842226,1
5904822,4
7315131,5
4599428,3
4642034,0
5989614,2
7480354,1
1634147,1
5145058,5
8972664,0
5370818,4
5935476,0
1399664,3
7487011,1
8215154,3
7713992,2
4000616,5
2731235,1
6727848,2
6138860,2
5326631,4
5344066,3
8650398,5
6096461,2
6111828,5
9355882,3
5820114,1
8381999,4
2387558,1
9645494,3
9282153,5
6340579,5
6666839,5
8228848,0
9171838,1
3438913,4
9790904,0
2134674,1
9483465,1
2019372,4
2997767,3
5680228,5
7429633,1
7489593,5
3912654,3
3192478,1
1511851,5
6943099,2
5424589,5
5368552,2
8531129,1
3618251,1
5455389,5
3598416,2
5378551,3
6299027,5
9603096,3
2122547,3
9273025,0
9481524,0
2846326,0
6436853,0
4078976,4
3383455,3
9659795,1
8360594,0
6599843,5
3506637,1
3161381,4
3222759,0
7700308,1
4985145,2
7400299,4
4554596,5
8987182,5
2529420,0
8343943,2
1730276,2
6723965,3
2518065,2
8134457,4
9111846,5
3898842,2
6166561,2
8987119,1
4635258,2
6151626,3
6151692,1
3910585,4
9192804,3
2342764,1
5208436,1
2602662,3
1485830,0
5209876,0
8591171,3
3980067,3
4262641,5
3613041,5
1329905,3
4335178,0
3065220,5
5880191,1
5659008,5
3535403,5
5049712,1
9370002,5
9160871,4
1506140,5
1917471,0
4018356,3
2272453,5
8579728,3
5511302,3
2109689,0
2540344,0
3402692,1
4191031,2
8812410,2
5426262,2
7392114,0
8661566,2
9080578,0
8655630,2
7387189,0
3082003,5
9774691,5
7235554,0
1496052,4
7361094,0
7574474,5
4248051,0
5914653,4
3302255,1
5330559,5
9065212,5
5947542,1
7817343,2
9104950,3
3991562,2
3052401,1
2878291,2
4153131,2
6968516,3
3720885,1
5396822,3
5211536,1
5804947,0
5360921,3
8941291,4
7100238,2
6837135,0
2965947,5
1886948,2
7597867,3
3973569,0
3837478,2
2390075,4
6272607,4
4391692,0
5500997,1
2166286,2
3482528,0
4808692,2
2748049,0
4984926,4
9668217,2
5599056,2
6374460,2
3974426,4
1262128,2
8928419,0
4907099,2
1726536,1
9322178,4
6696730,2
6437575,0
8529185,0
2207682,5
7658369,3
5556578,1
8007392,3
5655578,1
7821436,4
8324477,5
5386531,3
3790000,1
1887266,3
5352281,5
4434268,5
3095438,1
4199077,4
3131525,5
6578414,2
7660296,0
1406444,0
7602219,5
1394685,4
6631984,2
5072008,3
8058808,2
7057685,2
4046018,2
7413166,1
8595181,3
