cust_id,count_bills_return
5940680,2
9115885,3
5673843,4
4033285,0
6265980,3
5086226,4
6215208,2
1855253,2
3796645,1
7840347,3
7754396,3
5463439,3
7340928,4
9426182,4
9461922,4
1906940,0
3814528,2
1693261,2
9645727,3
1509961,5
2046107,0
3992981,3
8043681,1
4089969,4
5241951,5
2602847,2
5910078,5
1980048,3
8217471,3
8220525,3
5093328,5
2643548,5
4514590,0
9055868,0
9485787,0
6034859,2
1671424,2
6337584,3
3946026,5
3714665,1
1546368,3
2316960,5
3984846,5
3456968,1
1354119,4
1543042,5
2841203,5
3745109,0
4597885,4
9487631,3
1446017,5
9456129,5
1572747,0
8311431,0
6727976,1
2630863,1
4584739,1
3564871,5
5515100,3
8848618,0
5283755,5
8211097,4
3574130,1
9323853,2
2436531,2
6809670,2
8032062,5
5923272,5
5852174,2
3488415,5
1332406,1
2795058,4
5034027,0
5319284,0
6837087,1
4785790,2
6474010,2
6632775,0
7901711,3
9808034,1
8855463,3
1267368,5
8160750,4
6904961,2
6457186,3
5974620,5
8436585,2
2411732,4
3231982,3
4422726,1
1709180,1
2290007,2
6394400,3
9752629,4
2241517,5
3734752,4
6561974,5
4009993,5
4346392,5
5052012,3
1774689,5
3133706,5
4613761,5
2253972,5
6724536,4
9275750,2
5020420,4
3185712,2
6096855,5
6654180,1
7134676,4
4074156,3
1440076,1
1499828,0
2382845,1
3977973,2
4454915,4
4676235,2
6018433,3
5940615,0
2165744,0
2160907,0
1853882,0
4852514,5
1385889,1
3649089,2
8943405,5
7376848,0
4731071,2
6791265,1
6436221,3
5228002,4
4743431,5
6781210,2
3499000,1
5925953,3
4660246,4
5439968,5
3705502,5
6421609,1
6164705,3
8949181,5
5277863,4
9017572,5
1332067,4
2641513,2
6852915,2
4101409,2
1783660,0
2511336,2
7774678,0
2364320,3
2765423,0
3694209,0
4217496,5
2707781,3
5577389,5
9356750,0
3010660,4
5879764,5
2854113,3
6460481,2
1957954,2
9371113,1
4417434,0
8392162,3
2443381,4
9336752,2
8462923,4
2844706,4
7480794,0
5743249,5
6413958,5
5988337,0
2726551,5
8544503,5
5849127,0
5298246,5
4843144,1
2167345,5
5847638,2
5293807,0
2409134,0
2741935,3
6534753,1
5276050,3
4600988,2
8495150,0
6143719,5
8996994,3
3568258,0
3363878,0
9692419,5
7929968,5
2623610,0
1930644,3
6679746,0
3336770,0
7110351,0
3585411,1
8149676,0
1912338,2
3005727,0
7831378,1
9286921,4
6306576,3
8604644,5
3027402,4
2453194,3
5160468,0
3926705,1
6230223,4
3985702,0
5878623,5
5557977,3
5065166,5
1872909,4
9369630,1
5316566,5
2842411,5
5776823,2
9194292,5
9105404,3
9459617,4
3248085,1
5723322,3
4629352,3
5874535,3
9082655,4
2876353,0
4615794,3
2544196,3
3546783,4
4679961,0
2395161,3
3653871,3
6259384,4
2095337,2
7477628,4
7545061,0
2692376,4
4183029,0
7633815,5
8251213,2
1918708,0
7759024,2
3897364,5
6217226,5
5591307,3
9061142,4
5295156,5
3699134,1
2961981,3
7049299,1
2412332,1
5032254,2
9845634,5
2735165,0
1401108,4
7556384,0
3815512,5
6568563,4
7511821,4
7982454,1
7428564,4
2151522,5
2666429,2
2666408,1
7223663,2
7109644,2
1957984,2
9029454,1
4663773,0
9582773,4
8035737,4
8727890,5
2837348,2
1562944,0
7437310,0
6696155,3
3298086,5
9307922,4
9458648,1
2870104,5
9472877,4
4728334,1
3017782,1
7382441,5
2042952,0
8266263,4
2201031,3
2655832,2
1793088,0
8942308,4
9323026,3
5077766,1
8809278,3
6070891,5
2693883,5
7656922,2
7744981,0
8340693,5
1720395,0
7677738,5
9529428,1
4643130,2
3932747,4
9707428,4
7862423,1
2058191,5
2648315,0
7761001,5
2774998,2
3313334,3
9187039,2
8916287,0
6434956,5
2858134,4
8417426,4
4575633,0
8212879,2
2207010,5
7897763,5
3989731,0
3225077,2
8932625,4
5558823,5
1639774,3
6549499,1
8941412,0
7759622,2
6749017,2
4098017,1
7112814,0
3025178,4
2070587,3
6419703,3
8515171,3
7256213,1
8115798,4
4809655,4
4285649,5
1969400,2
9460008,5
2321977,0
3393922,3
9728156,4
2651210,5
9770750,2
4833131,5
6722204,2
4139916,3
7323880,0
4656976,5
2836134,4
4651240,1
5933870,0
2545200,5
3890677,0
1269711,2
9672526,2
6661502,2
1774656,5
8646583,2
8038857,4
5605057,5
9036583,1
6997867,2
2987521,5
6079258,0
6176500,2
7625024,3
9422690,5
6665032,2
4157602,3
3848150,3
9219391,4
4057772,5
3286772,0
7911049,2
1566491,1
6351408,2
7889916,4
2068097,0
3775771,3
3063293,1
2893689,3
3177660,3
2307285,0
8477859,2
6633694,1
2045463,3
6728997,5
8771178,1
3352417,5
4902338,1
9767908,1
4961590,1
2195772,2
7069989,5
5498618,0
1846351,3
5246181,3
2817789,0
8238162,2
9434157,0
6279792,0
2746554,2
6765928,5
1822161,0
5617612,2
7283912,5
8480122,3
4348985,5
3011276,3
7566255,2
4739001,2
6216799,0
2010914,0
5957331,2
2876568,1
3758441,3
6615588,0
2668789,3
4421241,3
6594134,3
4057347,1
2417200,4
4263858,0
2145126,4
5293819,3
4735849,3
5044368,4
8169837,4
7333311,1
3176165,1
7956195,4
8158316,4
1350391,1
7646265,2
7032714,5
3241997,3
4933428,0
4796250,1
8595351,0
8462609,1
5927010,3
6181400,1
5747354,1
2681538,3
3842649,4
7094890,2
7765205,0
3546869,2
3815730,3
6534070,1
3609837,4
3595907,3
2291810,4
8506004,5
8735017,2
6048563,5
6999025,3
9402656,2
2057945,0
8580405,3
5874015,5
2374944,5
8238014,1
5294726,4
1484927,3
4953612,1
7138682,3
9287505,0
5001358,1
8984971,5
9132183,2
6089062,0
7971783,2
2665641,3
1640591,4
3583182,2
8954357,2
9491931,0
7740988,4
1267102,4
3522481,0
6705317,0
5051013,5
2469378,3
2766518,2
2901554,2
7101600,4
2409134,3
1797364,0
2496646,3
2345813,5
5671972,5
7278501,3
4862371,3
9496510,1
7255172,1
6350138,4
1618282,5
1483739,4
2878409,0
3092873,2
1578417,2
7552501,2
7275023,4
6993944,1
3723741,1
9020374,3
5985938,4
2986882,0
5923435,3
9220843,0
5604982,3
6308811,0
9585416,5
4002100,0
2874222,2
3027782,4
6170284,3
5050153,2
1836460,0
9017602,2
5779291,1
2209095,3
4249973,4
7373592,1
6020294,0
4200531,4
1556659,4
9448156,5
8661126,2
6756244,5
8146239,5
5988922,3
4549470,2
6934833,0
9594487,1
1376056,2
3562314,2
5603836,4
6804757,5
2633259,5
8951528,4
3827702,2
8857494,4
3880777,0
2989600,5
4671459,1
7097867,5
7513203,2
1513180,0
1321346,5
1777313,4
1455269,2
4116604,1
3343319,4
3714710,4
6534486,1
6513466,0
1950175,2
3513022,2
3326854,4
1406024,4
3689007,0
8290194,1
5255872,4
8399565,0
4254364,1
8341462,0
7529412,5
5143828,2
5536601,4
1428645,3
6843831,3
3386164,2
2602690,3
1939178,4
3436936,2
3286213,5
7428699,3
3154577,4
2331751,0
2785697,0
9256753,2
7541819,3
3061415,0
1633401,5
6576176,2
6494382,0
4083875,4
8023463,3
9770460,1
3169183,3
9130739,3
6790437,1
4792550,0
3623428,4
9243249,1
5568213,1
7576850,0
2492328,5
5335552,2
2576001,0
5825718,1
9491935,4
3597169,3
7086540,4
2775596,1
6617862,2
7606994,4
6759298,3
3814528,5
6924959,2
3442464,3
4476759,1
8029864,4
3243917,1
8449231,2
6743750,0
3973763,3
8761812,0
4239542,1
6223829,3
8128237,2
6661588,0
7967805,4
3937121,1
5345735,1
5764921,5
