cust_id,count_cheque_return_inward
5940680,5
9115885,5
5673843,2
4033285,1
6265980,3
5086226,0
6215208,5
1855253,2
3796645,5
7840347,2
7754396,2
5463439,1
7340928,2
9426182,5
9461922,1
1906940,2
3814528,0
1693261,2
9645727,5
1509961,2
2046107,4
3992981,0
8043681,4
4089969,1
5241951,1
2602847,5
5910078,5
1980048,2
8217471,0
8220525,0
5093328,1
2643548,2
4514590,4
9055868,1
9485787,3
6034859,0
1671424,1
6337584,2
3946026,0
3714665,3
1546368,5
2316960,1
3984846,3
3456968,4
1354119,3
1543042,5
2841203,0
3745109,4
4597885,2
9487631,5
1446017,2
9456129,1
1572747,3
8311431,0
6727976,2
2630863,4
4584739,0
3564871,2
5515100,4
8848618,3
5283755,4
8211097,1
3574130,2
9323853,5
2436531,2
6809670,5
8032062,5
5923272,3
5852174,4
3488415,2
1332406,2
2795058,3
5034027,2
5319284,3
6837087,1
4785790,3
6474010,1
6632775,3
7901711,2
9808034,2
8855463,1
1267368,1
8160750,4
6904961,1
6457186,4
5974620,1
8436585,5
2411732,1
3231982,5
4422726,2
1709180,2
2290007,5
6394400,1
9752629,2
2241517,5
3734752,1
6561974,2
4009993,3
4346392,5
5052012,1
1774689,4
3133706,5
4613761,2
2253972,5
6724536,4
9275750,3
5020420,5
3185712,2
6096855,4
6654180,0
7134676,4
4074156,0
1440076,4
1499828,3
2382845,0
3977973,4
4454915,2
4676235,3
6018433,0
5940615,3
2165744,2
2160907,0
1853882,2
4852514,0
1385889,2
3649089,2
8943405,0
7376848,5
4731071,3
6791265,0
6436221,0
5228002,1
4743431,0
6781210,1
3499000,3
5925953,1
4660246,5
5439968,3
3705502,0
6421609,4
6164705,3
8949181,3
5277863,3
9017572,0
1332067,4
2641513,2
6852915,3
4101409,3
1783660,2
2511336,4
7774678,5
2364320,0
2765423,1
3694209,0
4217496,1
2707781,5
5577389,3
9356750,1
3010660,1
5879764,1
2854113,3
6460481,2
1957954,1
9371113,0
4417434,2
8392162,3
2443381,2
9336752,5
8462923,5
2844706,2
7480794,4
5743249,4
6413958,2
5988337,0
2726551,1
8544503,3
5849127,2
5298246,3
4843144,3
2167345,0
5847638,2
5293807,3
2409134,1
2741935,0
6534753,1
5276050,5
4600988,4
8495150,0
6143719,1
8996994,1
3568258,1
3363878,4
9692419,5
7929968,5
2623610,1
1930644,2
6679746,1
3336770,1
7110351,4
3585411,4
8149676,3
1912338,2
3005727,3
7831378,5
9286921,1
6306576,4
8604644,0
3027402,2
2453194,2
5160468,0
3926705,5
6230223,3
3985702,0
5878623,1
5557977,1
5065166,2
1872909,0
9369630,4
5316566,0
2842411,0
5776823,0
9194292,5
9105404,1
9459617,4
3248085,0
5723322,2
4629352,5
5874535,5
9082655,1
2876353,5
4615794,0
2544196,1
3546783,0
4679961,0
2395161,2
3653871,2
6259384,5
2095337,0
7477628,3
7545061,3
2692376,1
4183029,4
7633815,5
8251213,2
1918708,1
7759024,2
3897364,1
6217226,3
5591307,4
9061142,2
5295156,2
3699134,4
2961981,1
7049299,3
2412332,1
5032254,2
9845634,3
2735165,3
1401108,1
7556384,1
3815512,0
6568563,2
7511821,3
7982454,5
7428564,0
2151522,0
2666429,5
2666408,1
7223663,1
7109644,5
1957984,1
9029454,4
4663773,2
9582773,4
8035737,5
8727890,3
2837348,3
1562944,0
7437310,1
6696155,3
3298086,3
9307922,1
9458648,0
2870104,4
9472877,0
4728334,0
3017782,2
7382441,5
2042952,4
8266263,1
2201031,4
2655832,5
1793088,3
8942308,2
9323026,1
5077766,5
8809278,5
6070891,4
2693883,0
7656922,3
7744981,4
8340693,0
1720395,4
7677738,2
9529428,5
4643130,5
3932747,2
9707428,1
7862423,2
2058191,5
2648315,5
7761001,4
2774998,5
3313334,0
9187039,4
8916287,2
6434956,1
2858134,5
8417426,0
4575633,2
8212879,3
2207010,2
7897763,4
3989731,2
3225077,3
8932625,0
5558823,2
1639774,3
6549499,2
8941412,5
7759622,5
6749017,4
4098017,0
7112814,3
3025178,5
2070587,3
6419703,2
8515171,5
7256213,1
8115798,4
4809655,1
4285649,1
1969400,3
9460008,5
2321977,4
3393922,3
9728156,0
2651210,4
9770750,3
4833131,3
6722204,1
4139916,0
7323880,4
4656976,2
2836134,1
4651240,5
5933870,1
2545200,0
3890677,3
1269711,2
9672526,2
6661502,2
1774656,2
8646583,3
8038857,3
5605057,1
9036583,3
6997867,4
2987521,3
6079258,3
6176500,4
7625024,0
9422690,1
6665032,2
4157602,0
3848150,2
9219391,0
4057772,0
3286772,2
7911049,1
1566491,0
6351408,1
7889916,0
2068097,1
3775771,2
3063293,3
2893689,4
3177660,2
2307285,3
8477859,1
6633694,1
2045463,3
6728997,1
8771178,4
3352417,2
4902338,1
9767908,4
4961590,0
2195772,0
7069989,1
5498618,1
1846351,2
5246181,2
2817789,3
8238162,2
9434157,1
6279792,1
2746554,4
6765928,2
1822161,2
5617612,5
7283912,4
8480122,1
4348985,0
3011276,4
7566255,5
4739001,2
6216799,1
2010914,3
5957331,3
2876568,1
3758441,4
6615588,4
2668789,5
4421241,0
6594134,4
4057347,5
2417200,3
4263858,3
2145126,0
5293819,5
4735849,5
5044368,3
8169837,3
7333311,1
3176165,5
7956195,4
8158316,5
1350391,5
7646265,3
7032714,4
3241997,3
4933428,4
4796250,4
8595351,5
8462609,1
5927010,2
6181400,4
5747354,4
2681538,4
3842649,3
7094890,4
7765205,1
3546869,0
3815730,1
6534070,3
3609837,1
3595907,2
2291810,1
8506004,5
8735017,2
6048563,2
6999025,4
9402656,2
2057945,5
8580405,0
5874015,4
2374944,4
8238014,1
5294726,0
1484927,4
4953612,3
7138682,2
9287505,2
5001358,3
8984971,4
9132183,4
6089062,1
7971783,4
2665641,5
1640591,3
3583182,1
8954357,4
9491931,3
7740988,2
1267102,2
3522481,1
6705317,0
5051013,0
2469378,3
2766518,3
2901554,2
7101600,5
2409134,5
1797364,5
2496646,0
2345813,5
5671972,3
7278501,3
4862371,2
9496510,1
7255172,5
6350138,5
1618282,5
1483739,5
2878409,5
3092873,3
1578417,2
7552501,1
7275023,2
6993944,1
3723741,0
9020374,0
5985938,3
2986882,3
5923435,1
9220843,5
5604982,2
6308811,1
9585416,3
4002100,0
2874222,2
3027782,4
6170284,4
5050153,5
1836460,4
9017602,5
5779291,1
2209095,4
4249973,3
7373592,0
6020294,0
4200531,0
1556659,2
9448156,4
8661126,1
6756244,1
8146239,4
5988922,0
4549470,0
6934833,3
9594487,5
1376056,1
3562314,4
5603836,4
6804757,2
2633259,2
8951528,0
3827702,3
8857494,1
3880777,0
2989600,3
