cust_id,count_cheque_return_outward
5940680,1
9115885,0
5673843,3
4033285,2
6265980,2
5086226,0
6215208,0
1855253,1
3796645,1
7840347,0
7754396,2
5463439,4
7340928,2
9426182,0
9461922,5
1906940,2
3814528,2
1693261,2
9645727,0
1509961,1
2046107,2
3992981,4
8043681,0
4089969,4
5241951,3
2602847,3
5910078,4
1980048,1
8217471,5
8220525,4
5093328,1
2643548,5
4514590,3
9055868,3
9485787,1
6034859,1
1671424,3
6337584,4
3946026,1
3714665,5
1546368,1
2316960,5
3984846,4
3456968,0
1354119,1
1543042,0
2841203,1
3745109,5
4597885,2
9487631,3
1446017,2
9456129,0
1572747,1
8311431,0
6727976,0
2630863,3
4584739,1
3564871,5
5515100,4
8848618,1
5283755,0
8211097,2
3574130,0
9323853,2
2436531,5
6809670,0
8032062,1
5923272,1
5852174,3
3488415,3
1332406,3
2795058,1
5034027,3
5319284,1
6837087,3
4785790,3
6474010,5
6632775,3
7901711,3
9808034,5
8855463,5
1267368,0
8160750,0
6904961,0
6457186,1
5974620,4
8436585,1
2411732,5
3231982,1
4422726,0
1709180,0
2290007,4
6394400,3
9752629,3
2241517,5
3734752,5
6561974,5
4009993,4
4346392,4
5052012,0
1774689,4
3133706,5
4613761,3
2253972,4
6724536,0
9275750,4
5020420,1
3185712,1
6096855,4
6654180,5
7134676,2
4074156,4
1440076,2
1499828,0
2382845,3
3977973,4
4454915,0
4676235,2
6018433,0
5940615,4
2165744,1
2160907,4
1853882,5
4852514,5
1385889,2
3649089,4
8943405,5
7376848,0
4731071,3
6791265,0
6436221,4
5228002,2
4743431,0
6781210,5
3499000,4
5925953,3
4660246,0
5439968,3
3705502,4
6421609,3
6164705,3
8949181,4
5277863,0
9017572,1
1332067,0
2641513,3
6852915,3
4101409,5
1783660,3
2511336,1
7774678,0
2364320,0
2765423,2
3694209,5
4217496,3
2707781,5
5577389,3
9356750,0
3010660,5
5879764,1
2854113,3
6460481,3
1957954,3
9371113,0
4417434,1
8392162,3
2443381,1
9336752,0
8462923,1
2844706,3
7480794,3
5743249,4
6413958,3
5988337,1
2726551,0
8544503,0
5849127,3
5298246,5
4843144,0
2167345,0
5847638,3
5293807,1
2409134,0
2741935,0
6534753,3
5276050,0
4600988,3
8495150,3
6143719,0
8996994,4
3568258,3
3363878,3
9692419,5
7929968,4
2623610,0
1930644,3
6679746,0
3336770,0
7110351,1
3585411,5
8149676,3
1912338,0
3005727,0
7831378,4
9286921,5
6306576,1
