cust_id,count_lc_development
5940680,4
9115885,1
5673843,3
4033285,4
6265980,4
5086226,3
6215208,2
1855253,5
3796645,0
7840347,4
7754396,4
5463439,2
7340928,1
9426182,3
9461922,3
1906940,4
3814528,4
1693261,3
9645727,0
1509961,4
2046107,2
3992981,5
8043681,4
4089969,5
5241951,3
2602847,4
5910078,5
1980048,5
8217471,5
8220525,2
5093328,1
2643548,5
4514590,5
9055868,5
9485787,4
6034859,3
1671424,2
6337584,2
3946026,1
3714665,2
1546368,3
2316960,3
3984846,3
3456968,1
1354119,0
1543042,3
2841203,5
3745109,3
4597885,0
9487631,2
1446017,3
9456129,5
1572747,0
8311431,1
6727976,1
2630863,2
4584739,0
3564871,1
5515100,3
8848618,0
5283755,2
8211097,4
3574130,5
9323853,4
2436531,2
6809670,2
8032062,4
5923272,4
5852174,2
3488415,2
1332406,3
2795058,4
5034027,2
5319284,0
6837087,2
4785790,2
6474010,1
6632775,5
7901711,1
9808034,4
8855463,4
1267368,2
8160750,4
6904961,3
6457186,3
5974620,4
8436585,5
2411732,2
3231982,2
4422726,2
1709180,4
2290007,4
6394400,2
9752629,5
2241517,1
3734752,3
6561974,2
4009993,4
4346392,1
5052012,0
1774689,4
3133706,3
4613761,3
2253972,3
6724536,5
9275750,1
5020420,4
3185712,2
6096855,5
6654180,1
7134676,3
4074156,4
1440076,3
1499828,0
2382845,4
3977973,3
4454915,3
4676235,5
6018433,3
5940615,0
2165744,5
2160907,4
1853882,1
4852514,2
1385889,3
3649089,1
8943405,4
7376848,3
4731071,1
6791265,0
6436221,1
5228002,3
4743431,0
6781210,0
3499000,5
5925953,0
4660246,4
5439968,5
3705502,5
6421609,5
6164705,5
8949181,1
5277863,1
9017572,3
1332067,0
2641513,3
6852915,5
4101409,3
1783660,1
2511336,0
7774678,0
2364320,5
2765423,4
3694209,3
4217496,4
2707781,1
5577389,5
9356750,3
3010660,0
5879764,5
2854113,5
6460481,5
1957954,2
9371113,2
4417434,1
8392162,1
2443381,0
9336752,1
8462923,4
2844706,4
7480794,3
5743249,0
6413958,3
5988337,1
2726551,5
8544503,3
5849127,5
5298246,0
4843144,5
2167345,2
5847638,5
5293807,3
2409134,2
2741935,1
6534753,2
5276050,0
4600988,2
8495150,5
6143719,1
8996994,1
3568258,4
3363878,4
9692419,1
7929968,4
2623610,3
1930644,5
6679746,1
3336770,3
7110351,0
3585411,5
8149676,5
1912338,5
