cust_id,dpd_days_past_due
5940680,6
9115885,25
5673843,60
4033285,0
6265980,89
5086226,28
6215208,13
1855253,12
3796645,0
7840347,15
7754396,0
5463439,56
7340928,89
9426182,52
9461922,22
1906940,75
3814528,46
1693261,89
9645727,10
1509961,66
2046107,19
3992981,6
8043681,26
4089969,53
5241951,0
2602847,0
5910078,44
1980048,14
8217471,41
8220525,89
5093328,0
2643548,1
4514590,0
9055868,89
9485787,18
6034859,0
1671424,32
6337584,62
3946026,30
3714665,24
1546368,73
2316960,0
3984846,89
3456968,89
1354119,0
1543042,38
2841203,60
3745109,0
4597885,32
9487631,0
1446017,60
9456129,48
1572747,89
8311431,40
6727976,8
2630863,89
4584739,68
3564871,57
5515100,89
8848618,10
5283755,89
8211097,0
3574130,49
9323853,89
2436531,18
6809670,2
8032062,0
5923272,42
5852174,52
3488415,38
1332406,5
2795058,46
5034027,29
5319284,7
6837087,4
4785790,89
6474010,23
6632775,39
7901711,9
9808034,0
8855463,0
1267368,64
8160750,59
6904961,17
6457186,47
5974620,89
8436585,66
2411732,49
3231982,47
4422726,59
1709180,0
2290007,40
6394400,46
9752629,87
2241517,9
3734752,89
6561974,24
4009993,89
4346392,55
5052012,1
1774689,20
3133706,60
4613761,58
2253972,30
6724536,3
9275750,89
5020420,12
3185712,59
6096855,74
6654180,0
7134676,41
4074156,45
1440076,0
1499828,35
2382845,0
3977973,32
4454915,78
4676235,37
6018433,15
5940615,0
2165744,89
2160907,0
1853882,71
4852514,17
1385889,32
3649089,89
8943405,52
7376848,53
4731071,89
6791265,67
6436221,13
5228002,6
4743431,59
6781210,26
3499000,50
5925953,67
4660246,0
5439968,36
3705502,1
6421609,28
6164705,89
8949181,21
5277863,0
9017572,42
1332067,29
2641513,89
6852915,23
4101409,26
1783660,39
2511336,89
7774678,89
2364320,0
2765423,64
3694209,3
4217496,1
2707781,89
5577389,66
9356750,34
3010660,19
5879764,54
2854113,22
6460481,87
1957954,0
9371113,26
4417434,14
8392162,89
2443381,3
9336752,50
8462923,64
2844706,28
7480794,89
5743249,24
6413958,15
5988337,89
2726551,0
8544503,71
5849127,46
5298246,19
4843144,12
2167345,49
5847638,7
5293807,24
2409134,57
2741935,89
6534753,15
5276050,23
4600988,18
8495150,0
6143719,89
8996994,0
3568258,45
3363878,29
9692419,14
7929968,28
2623610,35
1930644,69
6679746,45
3336770,50
7110351,51
3585411,80
8149676,0
1912338,37
3005727,1
7831378,49
9286921,0
6306576,22
8604644,0
3027402,88
2453194,0
5160468,89
3926705,75
6230223,89
3985702,15
5878623,61
5557977,89
5065166,72
1872909,69
9369630,5
5316566,89
2842411,0
5776823,57
9194292,14
9105404,16
9459617,89
3248085,4
5723322,61
4629352,89
5874535,58
9082655,0
2876353,23
4615794,54
2544196,57
3546783,38
4679961,47
2395161,19
3653871,89
6259384,76
2095337,66
7477628,59
7545061,0
2692376,67
4183029,37
7633815,0
8251213,54
1918708,26
7759024,18
3897364,0
6217226,10
5591307,50
9061142,0
5295156,54
3699134,12
2961981,89
7049299,61
2412332,52
5032254,60
9845634,37
2735165,89
1401108,0
7556384,44
3815512,61
6568563,0
7511821,73
7982454,0
7428564,46
2151522,57
2666429,31
2666408,75
7223663,30
7109644,30
1957984,4
9029454,89
4663773,23
9582773,31
8035737,21
8727890,38
2837348,68
1562944,0
7437310,63
6696155,0
3298086,15
9307922,62
9458648,59
2870104,89
9472877,18
4728334,64
3017782,89
7382441,0
2042952,89
8266263,89
2201031,89
2655832,39
1793088,19
8942308,62
9323026,26
5077766,60
8809278,4
6070891,31
2693883,43
7656922,89
7744981,79
8340693,49
1720395,0
7677738,15
9529428,30
4643130,70
3932747,89
9707428,0
7862423,0
2058191,0
2648315,9
7761001,22
2774998,70
3313334,13
9187039,2
8916287,0
6434956,73
2858134,43
8417426,51
4575633,78
8212879,61
2207010,32
7897763,89
3989731,33
3225077,89
8932625,26
5558823,11
1639774,84
6549499,60
8941412,0
7759622,89
6749017,44
4098017,44
7112814,89
3025178,31
2070587,45
6419703,89
8515171,0
7256213,0
8115798,78
4809655,89
4285649,0
1969400,66
9460008,11
2321977,59
3393922,29
9728156,41
2651210,26
9770750,63
4833131,67
6722204,89
4139916,34
7323880,89
4656976,69
2836134,12
4651240,26
5933870,64
2545200,64
3890677,23
1269711,16
9672526,54
6661502,15
1774656,14
8646583,31
8038857,69
5605057,41
9036583,6
6997867,11
2987521,34
6079258,15
6176500,18
7625024,51
9422690,47
6665032,0
4157602,25
3848150,19
9219391,89
4057772,24
3286772,47
7911049,26
1566491,0
