cust_id,pay_in_fund_diversion
5940680,4
9115885,0
5673843,3
4033285,2
6265980,5
5086226,4
6215208,2
1855253,3
3796645,4
7840347,2
7754396,0
5463439,0
7340928,2
9426182,4
9461922,3
1906940,4
3814528,1
1693261,0
9645727,1
1509961,2
2046107,5
3992981,0
8043681,2
4089969,0
5241951,4
2602847,4
5910078,4
1980048,1
8217471,4
8220525,5
5093328,4
2643548,2
4514590,5
9055868,1
9485787,0
6034859,0
1671424,4
6337584,4
3946026,3
3714665,2
1546368,2
2316960,3
3984846,4
3456968,5
1354119,4
1543042,2
2841203,3
3745109,3
4597885,0
9487631,0
1446017,1
9456129,1
1572747,0
8311431,2
6727976,5
2630863,3
4584739,1
3564871,3
5515100,1
8848618,5
5283755,3
8211097,0
3574130,2
9323853,2
2436531,4
6809670,5
8032062,1
5923272,5
5852174,1
3488415,1
1332406,2
2795058,5
5034027,5
5319284,5
6837087,1
4785790,3
6474010,4
6632775,2
7901711,2
9808034,4
8855463,0
1267368,3
8160750,2
6904961,3
6457186,2
5974620,3
8436585,4
2411732,3
3231982,2
4422726,1
1709180,3
2290007,1
6394400,1
9752629,2
2241517,5
3734752,2
6561974,5
4009993,4
4346392,5
5052012,1
1774689,5
3133706,1
4613761,0
2253972,1
6724536,1
9275750,1
5020420,1
3185712,2
6096855,0
6654180,4
7134676,1
4074156,3
1440076,0
1499828,0
2382845,3
3977973,2
4454915,0
4676235,2
6018433,2
5940615,5
2165744,1
2160907,0
1853882,2
4852514,2
1385889,0
3649089,2
8943405,2
7376848,1
4731071,3
6791265,5
6436221,0
5228002,1
4743431,4
6781210,4
3499000,5
5925953,2
4660246,4
5439968,5
3705502,2
6421609,2
6164705,2
8949181,0
5277863,3
9017572,0
1332067,2
2641513,2
6852915,5
4101409,1
1783660,3
2511336,4
7774678,3
2364320,4
2765423,5
3694209,2
4217496,0
2707781,1
5577389,4
9356750,1
3010660,0
5879764,4
2854113,0
6460481,2
1957954,5
9371113,5
4417434,0
8392162,5
2443381,2
9336752,4
8462923,1
2844706,1
7480794,1
5743249,5
6413958,1
5988337,0
2726551,2
8544503,1
5849127,2
5298246,5
4843144,4
2167345,2
5847638,4
5293807,3
2409134,2
2741935,2
6534753,5
5276050,1
4600988,2
8495150,0
6143719,4
8996994,1
3568258,1
3363878,4
9692419,3
7929968,3
2623610,3
1930644,1
6679746,4
3336770,5
7110351,4
3585411,4
8149676,4
1912338,1
3005727,5
7831378,3
9286921,0
6306576,5
8604644,2
3027402,4
2453194,5
5160468,5
3926705,4
6230223,5
3985702,3
5878623,2
5557977,4
5065166,4
1872909,1
9369630,5
5316566,2
2842411,2
5776823,3
9194292,1
9105404,5
9459617,3
3248085,2
5723322,5
4629352,2
5874535,2
9082655,5
2876353,2
4615794,0
2544196,4
3546783,3
4679961,3
2395161,5
3653871,5
6259384,5
2095337,2
7477628,4
7545061,2
2692376,1
4183029,2
7633815,0
8251213,5
1918708,2
7759024,1
3897364,2
6217226,5
5591307,0
9061142,0
5295156,0
3699134,5
2961981,4
7049299,1
2412332,2
5032254,5
9845634,1
2735165,4
1401108,2
7556384,0
3815512,4
6568563,0
7511821,5
7982454,4
7428564,4
2151522,2
2666429,1
2666408,2
7223663,0
7109644,3
1957984,4
9029454,3
4663773,2
9582773,5
8035737,3
8727890,1
2837348,3
1562944,1
7437310,0
6696155,5
3298086,2
9307922,4
9458648,5
2870104,3
9472877,2
4728334,1
3017782,5
7382441,0
2042952,2
8266263,0
2201031,4
2655832,0
1793088,0
8942308,4
9323026,2
5077766,4
8809278,1
6070891,0
2693883,1
7656922,2
7744981,4
8340693,1
1720395,0
7677738,4
9529428,0
4643130,1
3932747,4
9707428,1
7862423,4
2058191,0
2648315,2
7761001,3
2774998,1
3313334,1
9187039,3
8916287,0
6434956,0
2858134,1
8417426,1
4575633,2
8212879,1
2207010,2
7897763,3
3989731,3
3225077,3
8932625,4
5558823,5
1639774,2
6549499,2
8941412,0
7759622,5
6749017,3
4098017,5
