cust_id,pay_out_alert
5940680,5
9115885,4
5673843,3
4033285,0
6265980,4
5086226,3
6215208,2
1855253,5
3796645,4
7840347,2
7754396,3
5463439,1
7340928,3
9426182,5
9461922,4
1906940,2
3814528,0
1693261,3
9645727,5
1509961,4
2046107,3
3992981,1
8043681,2
4089969,5
5241951,5
2602847,0
5910078,3
1980048,5
8217471,2
8220525,3
5093328,2
2643548,4
4514590,5
9055868,5
9485787,5
6034859,4
1671424,2
6337584,5
3946026,3
3714665,4
1546368,0
2316960,1
3984846,2
3456968,2
1354119,1
1543042,3
2841203,1
3745109,1
4597885,5
9487631,5
1446017,0
9456129,3
1572747,3
8311431,3
6727976,4
2630863,5
4584739,5
3564871,3
5515100,0
8848618,5
5283755,1
8211097,3
3574130,5
9323853,2
2436531,3
6809670,1
8032062,4
5923272,3
5852174,3
3488415,5
1332406,3
2795058,2
5034027,4
5319284,4
6837087,5
4785790,1
6474010,5
6632775,0
7901711,3
9808034,5
8855463,2
1267368,3
8160750,0
6904961,5
6457186,2
5974620,2
8436585,5
2411732,2
3231982,4
4422726,0
1709180,4
2290007,0
6394400,5
9752629,1
2241517,5
3734752,1
6561974,3
4009993,1
4346392,3
5052012,3
1774689,2
3133706,1
4613761,1
2253972,1
6724536,2
9275750,3
5020420,1
3185712,2
6096855,0
6654180,0
7134676,0
4074156,2
1440076,0
1499828,1
2382845,0
3977973,5
4454915,4
4676235,0
6018433,1
5940615,1
2165744,2
2160907,2
1853882,3
4852514,1
1385889,5
3649089,5
8943405,3
7376848,2
4731071,0
6791265,4
6436221,0
5228002,2
4743431,2
6781210,3
3499000,4
5925953,0
4660246,3
5439968,2
3705502,0
6421609,0
6164705,2
8949181,1
5277863,0
9017572,4
1332067,0
2641513,2
6852915,2
4101409,0
1783660,0
2511336,2
7774678,5
2364320,3
2765423,2
3694209,3
4217496,0
2707781,1
5577389,0
9356750,2
3010660,1
5879764,4
2854113,2
6460481,2
1957954,3
9371113,2
4417434,4
8392162,4
2443381,4
9336752,2
8462923,4
2844706,4
7480794,4
5743249,3
6413958,0
5988337,3
2726551,0
8544503,4
5849127,2
5298246,1
4843144,2
2167345,0
5847638,5
5293807,5
2409134,5
2741935,5
6534753,0
5276050,4
4600988,0
8495150,3
6143719,1
8996994,0
3568258,5
3363878,4
9692419,5
7929968,5
2623610,2
1930644,0
6679746,5
3336770,5
7110351,4
3585411,1
8149676,0
1912338,5
3005727,1
7831378,3
9286921,3
6306576,3
8604644,5
3027402,4
2453194,3
5160468,0
3926705,4
6230223,4
3985702,0
5878623,0
5557977,1
5065166,0
1872909,1
9369630,1
5316566,2
2842411,0
5776823,5
9194292,4
9105404,5
9459617,5
3248085,0
5723322,4
4629352,3
5874535,3
9082655,2
2876353,4
4615794,0
2544196,5
3546783,4
4679961,0
2395161,2
3653871,2
6259384,0
2095337,0
